negative_word,count1,non_negative_word,count2
stay,12,starting,8
😉,11,acceptable,21
looking,38,wifi,70
united,46,Really,50
London,5,Wow,8
last,72,pls,22
employees,19,beyond,24
pleasant,8,Always,4
told,22,planet,6
application,5,Southwest,21
Flightlations,16,best,56
outside,4,Sitting,12
write,4,719,5
stressful,3,computers,9
iPhone,12,backup,3
broke,3,plan,22
rather,9,place,35
Flightr,11,180,7
think,52,taxi,10
inflight,8,ride,12
makes,14,Who,20
Admiral,5,exactly,9
hey,13,San,30
Booking,50,barely,5
Problems,47,moved,29
November,4,front,27
look,36,behind,21
holders,3,disappointed,81
Lounge,5,minute,46
elevate,3,placed,8
recent,6,logged,5
even,43,gone,21
learn,7,Seat,5
able,48,released,5
Even,6,Bad,17
More,4,enough,57
checked,28,assigned,8
tmrw,6,seating,14
seem,9,exit,13
Has,4,everyone,51
Thinking,4,board,80
About,9,pissed,10
Summer,6,nope,14
With,10,leaving,50
Service,11,5pm,3
Media,5,believe,40
apply,8,passengers,126
companion,23,seated,6
certificate,6,crew,137
LIT,3,Hope,14
PDX,13,bar,4
Also,9,PHLAirport,16
replies,3,hot,5
Hey,12,mess,19
VirginAmerica,18,send,52
Every,3,adding,7
old,25,text,16
hope,46,entitled,3
pilot,18,friend,32
included,4,media,17
status,37,Stuck,25
match,9,int,5
connecting,20,flt,79
Looking,26,FLT,7
forward,33,Gate,23
friends,15,conflicting,5
Arizona,3,Outrageous,3
Friday,13,flew,24
catching,3,united,118
DCA,22,Another,25
leg,13,nothing,121
hit,4,offer,41
year,45,massive,3
flown,13,inconvenience,27
several,8,honestly,8
tried,13,feedback,19
book,52,happens,28
’,3,located,9
Why,16,reasonable,6
issues,13,request,31
San,29,cost,38
Francisco,4,vacation,58
Baltimore,4,350,3
Diego,7,rude,112
Philadelphia,3,woman,12
far,26,country,21
frequent,9,constantly,3
business,20,upgrades,9
traveler,9,charges,9
changes,11,order,13
afternoon,14,prevent,5
horrible,5,seats,149
cold,16,There,47
awards,5,handle,30
member,14,volume,22
round,11,yes,97
carried,3,incorrectly,3
apparently,4,AmericanAir,30
accounts,3,extremely,21
nothing,12,continue,12
Corporation,6,contacting,8
High,4,Reservations,6
Short,4,hey,20
Interest,4,lol,12
Wall,23,And,93
Street,16,turn,14
There,9,heat,6
birds,6,feels,9
inside,4,Delayed,35
conditions,9,Missed,22
cover,4,New,18
game,8,fleet,33
THANK,17,fleek,31
YOU,35,confusing,3
MUCH,6,priority,18
opportunity,6,mileage,13
Gary,4,plus,29
Kelly,5,😔,3
based,7,well,80
Saturday,11,HOLD,3
rescheduled,5,PLEASE,12
notified,3,typical,5
additional,4,Trying,32
cost,16,understanding,4
Flightly,3,sign,18
though,37,NOT,44
Good,30,More,12
goes,14,missed,95
along,7,Bag,6
SWA,23,MIA,13
takes,8,Wednesday,9
❤️,6,see,122
plans,11,lostluggage,4
direct,34,frustrated,60
DAL,11,window,22
LAS,12,fun,19
cheers,3,sick,17
allowed,14,DAY,3
site,22,jfk,21
tracking,4,Checked,5
checking,19,Confirmed,3
often,7,carry,32
Most,4,counter,37
probably,9,manager,10
hand,4,upgraded,8
oscars,3,somebody,9
refund,24,sometime,3
Its,6,soon,29
telling,4,Orlando,14
American,31,military,6
Airlines,23,Horrible,8
treated,5,website,121
customers,16,problem,81
fact,3,continues,6
Flightlation,5,needs,56
1st,36,less,51
full,12,reach,40
SouthwestAir,27,delivery,16
commercial,9,driver,4
mechanical,6,carseat,4
issue,27,return,48
Looks,6,fam,5
concern,7,thats,7
Club,10,losing,28
Sent,7,meds,4
suggestion,3,remove,5
iPad,11,old,51
IAD,24,tag,18
Juan,7,miserable,9
wondering,11,Other,15
Does,11,statement,6
fees,16,house,7
military,6,thru,37
personnel,3,SFO,54
selfie,8,arrive,39
This,32,asked,47
message,17,stop,50
Twitter,25,yall,15
travels,4,corporate,11
fast,11,storms,3
Home,4,inevitable,3
without,11,making,67
meals,3,lap,5
journey,3,child,12
etc,5,badservice,19
ANAmarketers,3,Charlotte,39
friendly,7,Waited,6
helped,11,maintenance,47
various,3,NeverAgain,9
Almost,4,BNA,19
operate,3,dfwairport,7
world,23,thank,37
trying,50,Plane,13
KingsCollegeLondon,3,came,23
charity,5,broken,60
Would,13,Rather,4
jailbreak,3,separated,3
RAG,3,kids,35
apology,5,self,4
begin,5,checkin,25
Savannah,4,employee,26
Luv,5,Send,3
whats,3,texts,5
lax,7,especially,10
pleasure,5,locations,4
outstanding,10,across,10
anywhere,5,concourse,4
Left,7,seemed,3
wallet,4,yeah,23
found,21,next,128
currently,15,drove,7
ones,8,wasnt,4
hoping,14,cold,14
donation,3,bridge,4
twitter,11,whole,34
handle,5,schedule,18
followed,14,worth,21
record,14,connections,28
locator,6,Shameful,3
bringing,9,hoped,4
different,17,contacted,9
One,9,wks,3
suicide,6,responded,9
second,23,issued,11
leading,6,funds,13
cause,10,new,113
death,7,SpiritAirlines,7
among,10,Love,9
exception,3,impressed,7
asked,8,subpar,5
biz,3,planes,65
Reminder,4,officer,4
From,9,galley,4
tweeting,7,file,17
join,4,claim,72
continue,5,per,16
Lufthansa,5,bill,3
CAPA_Aviation,3,rights,4
roundtrip,7,Need,50
nearby,3,diff,14
alright,4,mom,16
BDL,3,poorly,8
bonus,7,happy,48
running,16,usairwaysfail,24
kept,5,United,149
smiling,4,traveling,30
bad,24,sales,3
customerservice,8,wondering,5
looks,20,counting,45
mistake,7,something,56
received,20,honor,12
informed,5,services,20
method,7,applied,6
also,29,question,30
design,3,2nd,39
somewhere,4,trip,122
Puerto,4,Will,47
Rico,3,leaves,13
Lol,7,deal,29
accepted,3,Denver,46
First,13,Vegas,26
members,10,pretty,26
FREE,3,lame,10
tickets,62,single,17
visit,13,letter,24
southwestairlines,3,Yes,41
seats,48,Nashville,12
Way,5,filed,18
honor,5,yep,5
policy,26,folder,3
flyers,6,expire,4
employee,7,respond,33
JayVig,4,incompetent,12
snacks,8,saw,9
JVMChat,5,useless,20
mins,5,tsa,6
And,32,shoes,4
level,5,let,151
father,4,Delta,33
passed,6,Never,44
midnight,5,international,27
hung,3,leave,79
receive,7,longer,50
Very,17,companion,12
Yeah,4,years,31
Main,3,special,10
Cabin,4,rest,8
buying,6,fear,4
AAdvantage,5,ONE,7
using,19,strikes,4
carry,19,strongly,3
reference,3,suggest,9
trips,5,live,22
pilots,22,appreciates,3
enter,7,updates,32
passport,5,airlines,74
information,11,frm,9
